Index,日期(Date),時間(Time),警报序号,描述,触发 / 复位
1,2026/07/31,12:04:35,2,PLC1_Normal_Fault0.1—停机报警：反应杯满溢,T
2,2026/07/31,12:04:35,5,PLC1_Normal_Fault0.4—停机报警：反应杯液位Sensor异常,T
3,2026/07/31,12:04:35,59,PLC1_Normal_Warning1.A—报警：分析浓度超规,T
4,2026/07/31,12:06:39,2,PLC1_Normal_Fault0.1—停机报警：反应杯满溢,T
5,2026/07/31,12:06:39,5,PLC1_Normal_Fault0.4—停机报警：反应杯液位Sensor异常,T
6,2026/07/31,12:06:39,59,PLC1_Normal_Warning1.A—报警：分析浓度超规,T
7,2026/07/31,12:07:26,2,PLC1_Normal_Fault0.1—停机报警：反应杯满溢,T
8,2026/07/31,12:07:26,5,PLC1_Normal_Fault0.4—停机报警：反应杯液位Sensor异常,T
9,2026/07/31,12:07:26,59,PLC1_Normal_Warning1.A—报警：分析浓度超规,T
10,2026/07/31,12:07:31,3,PLC1_Normal_Fault0.2—停机报警：分析仪漏液,T
11,2026/07/31,12:07:31,2,PLC1_Normal_Fault0.1—停机报警：反应杯满溢,F
12,2026/07/31,12:15:12.013,3,PLC1_Normal_Fault0.2—停机报警：分析仪漏液,T
13,2026/07/31,12:15:12.013,5,PLC1_Normal_Fault0.4—停机报警：反应杯液位Sensor异常,T
14,2026/07/31,12:15:12.015,59,PLC1_Normal_Warning1.A—报警：分析浓度超规,T
