Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/07/30,14:36:46,等待中
2,2026/07/30,14:37:11,等待中
3,2026/07/30,14:38:30,等待中
4,2026/07/30,14:39:09,等待中
5,2026/07/30,15:13:37,等待中
6,2026/07/30,15:44:47,等待中
7,2026/07/30,15:46:55,等待中
8,2026/07/30,15:48:50,等待中
9,2026/07/30,16:07:52,等待中
10,2026/07/30,16:10:17,等待中
11,2026/07/30,16:10:30,等待中
12,2026/07/30,16:11:00,分析中
13,2026/07/30,16:26:34,分析中
14,2026/07/30,16:27:42,分析中
15,2026/07/30,16:29:59,分析中
16,2026/07/30,16:31:35,分析中
17,2026/07/30,16:32:13,警告
18,2026/07/30,17:07:38,分析中
19,2026/07/30,17:07:45,警告
20,2026/07/30,17:13:44,分析中
21,2026/07/30,17:13:44,警告
22,2026/07/30,17:13:53,分析中
23,2026/07/30,17:13:53,警告
24,2026/07/30,17:16:31,分析中
25,2026/07/30,17:16:31,警告
26,2026/07/30,17:18:37,分析中
27,2026/07/30,17:18:37,警告
28,2026/07/30,17:19:26,分析中
29,2026/07/30,17:19:26,警告
30,2026/07/30,17:23:31,分析中
31,2026/07/30,17:24:04,分析中
32,2026/07/30,17:24:26,分析中
33,2026/07/30,17:24:26,警告
34,2026/07/30,17:26:26,分析中
35,2026/07/30,17:26:26,警告
36,2026/07/30,23:51:38,分析中
37,2026/07/30,23:51:38,警告
38,2026/07/30,23:58:01,分析中
39,2026/07/30,23:58:01,警告
40,2026/07/30,23:58:29,分析中
41,2026/07/30,23:58:29,警告
42,2026/07/30,23:59:40,分析中
43,2026/07/30,23:59:40,警告
