[2026/09/01 21:20:01] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 21:20:07] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:20:12] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:20:17] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:20:23] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:22:48] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 21:22:53] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:22:59] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:23:04] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:23:10] _onList write : 1/1 ; _backToOffList write : 0/1
[2026/09/01 21:23:15] _onList write : 1/1 ; _backToOffList write : 1/1
[2026/09/01 21:24:41] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 21:24:46] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:24:52] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:24:57] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:02] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:08] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:14] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:19] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:22] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:28] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:33] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:39] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:44] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:49] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:25:55] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:00] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:05] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:11] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:23] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:28] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:34] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:39] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:44] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:50] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:26:55] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:27:00] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:27:06] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:28:28] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 21:28:33] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:28:39] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:28:44] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:28:49] _onList write : 1/1 ; _backToOffList write : 0/1
[2026/09/01 21:28:55] _onList write : 1/1 ; _backToOffList write : 1/1
[2026/09/01 21:29:59] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 21:30:05] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:30:10] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:30:16] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 21:30:21] _onList write : 1/1 ; _backToOffList write : 0/1
[2026/09/01 21:30:27] _onList write : 1/1 ; _backToOffList write : 1/1
[2026/09/01 23:59:39] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:53] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:59] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:14] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:20] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:25] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:31] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:36] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:41] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:46] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:52] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:57] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:04] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:10] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:15] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:20] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:26] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:31] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:36] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:42] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:47] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:52] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/01 23:59:58] _onList write : 1/1 ; _backToOffList write : 0/0
