[2026/07/27 21:29:49] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:0 ; 空白:0
[2026/07/27 21:34:02] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 21:36:27] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 21:38:22] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 21:40:49] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 21:47:03] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 21:49:37] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 22:04:15] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 22:06:40] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 22:12:27] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 22:15:42] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
[2026/07/27 22:22:30] 槽位:0 ; 成分:0 ; 結果:-2.954065E-06 ; 濃度:0.003498051 ; 空白:0
[2026/07/27 22:24:43] 槽位:0 ; 成分:0 ; 結果:0.238 ; 濃度:1.119 ; 空白:0
