[2026/08/21 21:12:17] 槽位:1 ; 成分:2 ; 結果:5.209562E+09 ; 濃度:5.209562E+09 ; 空白:0
[2026/08/21 21:12:44] 槽位:1 ; 成分:2 ; 結果:25.66387 ; 濃度:5.209562E+09 ; 空白:0
[2026/08/21 21:22:01] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:5.209562E+09 ; 空白:0
[2026/08/21 21:25:13] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:25:41] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:26:20] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:27:05] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:29:38] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:30:43] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:33:01] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:34:16] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:34:52] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:35:40] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:37:18] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:38:19] 槽位:1 ; 成分:2 ; 結果:25.6639 ; 濃度:37.8143 ; 空白:0
[2026/08/21 21:40:06] 槽位:1 ; 成分:2 ; 結果:25.66387 ; 濃度:37.81426 ; 空白:0
[2026/08/21 21:40:51] 槽位:1 ; 成分:2 ; 結果:25.66387 ; 濃度:37.81426 ; 空白:0
[2026/08/21 21:41:20] 槽位:1 ; 成分:2 ; 結果:25.66387 ; 濃度:37.81426 ; 空白:0
[2026/08/21 21:43:12] 槽位:1 ; 成分:1 ; 結果:0 ; 濃度:0 ; 空白:0
[2026/08/21 21:44:12] 槽位:1 ; 成分:1 ; 結果:0 ; 濃度:0 ; 空白:0
[2026/08/21 21:44:36] 槽位:1 ; 成分:1 ; 結果:12.5568 ; 濃度:0 ; 空白:0
[2026/08/21 21:46:10] 槽位:1 ; 成分:1 ; 結果:12.5568 ; 濃度:0 ; 空白:0
[2026/08/21 21:46:32] 槽位:1 ; 成分:4 ; 結果:12.5568 ; 濃度:0 ; 空白:0
[2026/08/21 21:47:47] 槽位:1 ; 成分:4 ; 結果:12.5568 ; 濃度:39.159 ; 空白:0
[2026/08/21 21:48:24] 槽位:1 ; 成分:4 ; 結果:12.5568 ; 濃度:39.159 ; 空白:0
[2026/08/21 21:50:34] 槽位:1 ; 成分:4 ; 結果:12.5568 ; 濃度:3.1346 ; 空白:0
[2026/08/21 21:52:44] 槽位:1 ; 成分:4 ; 結果:12.5568 ; 濃度:3.1346 ; 空白:0
