[2026/07/30 14:36:46] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:36:49] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:36:51] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:11] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:14] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:16] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:19] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:22] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:24] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:27] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:29] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:31] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:34] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:36] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:39] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:41] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:44] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:46] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:49] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:51] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:54] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:56] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/07/30 14:37:59] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
