Index,日期(Date),時間(Time),料號(PartNo),批號(LotID),JobNo (or Quarter information),工號(OPID),生產程式(Recipe),設備狀態,Cu,Fe
1,2026/09/01,21:22:48,,,,,,Processing,72.362,
2,2026/09/01,21:23:55,,,,,,Processing,72.362,
3,2026/09/01,21:24:38,,,,,,Processing,72.362,
4,2026/09/01,21:25:52,,,,,,Processing,72.362,
5,2026/09/01,21:26:44,,,,,,Processing,72.362,
6,2026/09/01,21:28:30,,,,,,Processing,72.362,
7,2026/09/01,21:29:16,,,,,,Processing,72.362,
8,2026/09/01,21:29:40,,,,,,Processing,72.362,
9,2026/09/01,21:30:02,,,,,,Processing,72.362,
10,2026/09/01,21:30:58,,,,,,Processing,72.362,
11,2026/09/01,23:59:53,,,,,,Processing,72.362,
12,2026/09/01,23:59:14,,,,,,Processing,72.362,
13,2026/09/01,23:59:54,,,,,,Processing,72.362,
14,2026/09/01,23:59:04,,,,,,Processing,72.362,
15,2026/09/01,23:59:50,,,,,,Processing,72.362,
16,2026/09/01,21:56:46,,,,,,Processing,72.362,
