Index,日期(Date),時間(Time),料號(PartNo),批號(LotID),JobNo (or Quarter information),工號(OPID),生產程式(Recipe),設備狀態,錯誤代碼,代碼訊息
1,2026/09/01,21:28:04,,,,,,Working,0,分析中
2,2026/09/01,21:28:04,,,,,,Analyze start,101,Cu2+检测开始
3,2026/09/01,21:28:28,,,,,,Alarm start,59,PLC1_Normal_Warning1.A—报警：分析浓度超规
4,2026/09/01,21:28:49,,,,,,Alarm end,59A,PLC1_Normal_Warning1.A—报警：分析浓度超规解除
5,2026/09/01,21:28:57,,,,,,Analyze start,101,Cu2+检测开始
6,2026/09/01,21:29:16,,,,,,Error reset,102,Cu2+ 監控濃度在規格內
7,2026/09/01,21:29:27,,,,,,Analyze start,101,Cu2+检测开始
8,2026/09/01,21:29:40,,,,,,Error reset,102,Cu2+ 監控濃度在規格內
9,2026/09/01,21:29:51,,,,,,Analyze start,101,Cu2+检测开始
10,2026/09/01,21:29:59,,,,,,Alarm start,59,PLC1_Normal_Warning1.A—报警：分析浓度超规
11,2026/09/01,21:30:21,,,,,,Alarm end,59A,PLC1_Normal_Warning1.A—报警：分析浓度超规解除
12,2026/09/01,21:30:32,,,,,,Analyze start,101,Cu2+检测开始
13,2026/09/01,21:30:58,,,,,,Error reset,102,Cu2+ 監控濃度在規格內
14,2026/09/01,23:59:39,,,,,,Working,0,分析中
15,2026/09/01,23:59:39,,,,,,Alarm start,59,PLC1_Normal_Warning1.A—报警：分析浓度超规
16,2026/09/01,23:59:53,,,,,,Working,0,分析中
17,2026/09/01,23:59:53,,,,,,Alarm start,59,PLC1_Normal_Warning1.A—报警：分析浓度超规
18,2026/09/01,23:59:14,,,,,,Working,0,分析中
19,2026/09/01,23:59:14,,,,,,Alarm start,59,PLC1_Normal_Warning1.A—报警：分析浓度超规
20,2026/09/01,23:59:54,,,,,,Working,0,分析中
21,2026/09/01,23:59:54,,,,,,Error reset,102,Cu2+ 監控濃度在規格內
22,2026/09/01,23:59:04,,,,,,Working,0,分析中
23,2026/09/01,23:59:04,,,,,,Alarm start,59,PLC1_Normal_Warning1.A—报警：分析浓度超规
24,2026/09/01,23:59:50,,,,,,Working,0,分析中
25,2026/09/01,23:59:50,,,,,,Error reset,102,Cu2+ 監控濃度在規格內
26,2026/09/01,21:56:46,,,,,,Working,0,分析中
27,2026/09/01,21:56:46,,,,,,Error reset,102,Cu2+ 監控濃度在規格內
