[2026/08/24 22:08:56] Success (CreateExcel) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv
[2026/08/24 22:08:56] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,1,2026/08/24,22:08:56,停止中
[2026/08/24 22:08:56] Success (CreateWriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv
[2026/08/24 22:08:56] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,1,20260824,22:08:56,,,,,,Quit,100,停止中
[2026/08/24 22:08:59] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,2,2026/08/24,22:08:59,分析中
[2026/08/24 22:08:59] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,2,20260824,22:08:59,,,,,,Working,0,分析中
[2026/08/24 22:09:04] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,3,2026/08/24,22:09:04,等待中
[2026/08/24 22:09:04] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,3,20260824,22:09:04,,,,,,Standby,99,等待中
[2026/08/24 22:09:07] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,4,2026/08/24,22:09:07,停止中
[2026/08/24 22:09:07] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,4,20260824,22:09:07,,,,,,Quit,100,停止中
[2026/08/24 22:09:12] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,5,2026/08/24,22:09:12,停機故障
[2026/08/24 22:09:15] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,6,2026/08/24,22:09:15,分析中
[2026/08/24 22:09:15] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,5,20260824,22:09:15,,,,,,Working,0,分析中
[2026/08/24 22:09:20] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,7,2026/08/24,22:09:20,等待中
[2026/08/24 22:09:20] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,6,20260824,22:09:20,,,,,,Standby,99,等待中
[2026/08/24 22:09:22] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,8,2026/08/24,22:09:22,停止中
[2026/08/24 22:09:22] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,7,20260824,22:09:22,,,,,,Quit,100,停止中
[2026/08/24 22:09:28] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,9,2026/08/24,22:09:28,停機故障
[2026/08/24 22:09:30] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,10,2026/08/24,22:09:30,分析中
[2026/08/24 22:09:30] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,8,20260824,22:09:30,,,,,,Working,0,分析中
[2026/08/24 22:09:36] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,11,2026/08/24,22:09:36,等待中
[2026/08/24 22:09:36] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,9,20260824,22:09:36,,,,,,Standby,99,等待中
[2026/08/24 22:09:38] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,12,2026/08/24,22:09:38,停止中
[2026/08/24 22:09:38] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,10,20260824,22:09:38,,,,,,Quit,100,停止中
[2026/08/24 22:09:44] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,13,2026/08/24,22:09:44,停機故障
[2026/08/24 22:09:49] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,14,2026/08/24,22:09:49,分析中
[2026/08/24 22:09:49] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,11,20260824,22:09:49,,,,,,Working,0,分析中
[2026/08/24 22:09:51] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,15,2026/08/24,22:09:51,等待中
[2026/08/24 22:09:51] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,12,20260824,22:09:51,,,,,,Standby,99,等待中
[2026/08/24 22:09:57] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,16,2026/08/24,22:09:57,停止中
[2026/08/24 22:09:57] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,13,20260824,22:09:57,,,,,,Quit,100,停止中
[2026/08/24 22:09:59] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,17,2026/08/24,22:09:59,停機故障
[2026/08/24 22:10:05] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,18,2026/08/24,22:10:05,分析中
[2026/08/24 22:10:05] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,14,20260824,22:10:05,,,,,,Working,0,分析中
[2026/08/24 22:10:07] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,19,2026/08/24,22:10:07,等待中
[2026/08/24 22:10:07] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,15,20260824,22:10:07,,,,,,Standby,99,等待中
[2026/08/24 22:10:12] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,20,2026/08/24,22:10:12,停止中
[2026/08/24 22:10:12] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,16,20260824,22:10:12,,,,,,Quit,100,停止中
[2026/08/24 22:10:15] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,21,2026/08/24,22:10:15,停機故障
[2026/08/24 22:10:20] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,22,2026/08/24,22:10:20,分析中
[2026/08/24 22:10:20] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,17,20260824,22:10:20,,,,,,Working,0,分析中
[2026/08/24 22:10:23] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,23,2026/08/24,22:10:23,等待中
[2026/08/24 22:10:23] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,18,20260824,22:10:23,,,,,,Standby,99,等待中
[2026/08/24 22:10:28] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,24,2026/08/24,22:10:28,停止中
[2026/08/24 22:10:28] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,19,20260824,22:10:28,,,,,,Quit,100,停止中
[2026/08/24 22:10:31] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,25,2026/08/24,22:10:31,停機故障
[2026/08/24 22:10:36] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,26,2026/08/24,22:10:36,分析中
[2026/08/24 22:10:36] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,20,20260824,22:10:36,,,,,,Working,0,分析中
[2026/08/24 22:10:39] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,27,2026/08/24,22:10:39,等待中
[2026/08/24 22:10:39] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,21,20260824,22:10:39,,,,,,Standby,99,等待中
[2026/08/24 22:10:44] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,28,2026/08/24,22:10:44,停止中
[2026/08/24 22:10:44] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,22,20260824,22:10:44,,,,,,Quit,100,停止中
[2026/08/24 22:10:49] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,29,2026/08/24,22:10:49,停機故障
[2026/08/24 22:10:52] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,30,2026/08/24,22:10:52,分析中
[2026/08/24 22:10:52] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,23,20260824,22:10:52,,,,,,Working,0,分析中
[2026/08/24 22:10:57] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,31,2026/08/24,22:10:57,等待中
[2026/08/24 22:10:57] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,24,20260824,22:10:57,,,,,,Standby,99,等待中
[2026/08/24 22:11:00] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,32,2026/08/24,22:11:00,停止中
[2026/08/24 22:11:00] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,25,20260824,22:11:00,,,,,,Quit,100,停止中
[2026/08/24 22:11:05] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,33,2026/08/24,22:11:05,停機故障
[2026/08/24 22:11:08] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,34,2026/08/24,22:11:08,分析中
[2026/08/24 22:11:08] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,26,20260824,22:11:08,,,,,,Working,0,分析中
[2026/08/24 22:11:13] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,35,2026/08/24,22:11:13,等待中
[2026/08/24 22:11:13] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,27,20260824,22:11:13,,,,,,Standby,99,等待中
[2026/08/24 22:11:16] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,36,2026/08/24,22:11:16,停止中
[2026/08/24 22:11:16] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,28,20260824,22:11:16,,,,,,Quit,100,停止中
[2026/08/24 22:11:21] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,37,2026/08/24,22:11:21,停機故障
[2026/08/24 22:11:24] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,38,2026/08/24,22:11:24,分析中
[2026/08/24 22:11:24] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,29,20260824,22:11:24,,,,,,Working,0,分析中
[2026/08/24 22:11:29] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,39,2026/08/24,22:11:29,等待中
[2026/08/24 22:11:29] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,30,20260824,22:11:29,,,,,,Standby,99,等待中
[2026/08/24 22:11:32] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,40,2026/08/24,22:11:32,停止中
[2026/08/24 22:11:32] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,31,20260824,22:11:32,,,,,,Quit,100,停止中
[2026/08/24 22:11:37] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,41,2026/08/24,22:11:37,停機故障
[2026/08/24 22:11:42] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,42,2026/08/24,22:11:42,分析中
[2026/08/24 22:11:42] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,32,20260824,22:11:42,,,,,,Working,0,分析中
[2026/08/24 22:11:45] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,43,2026/08/24,22:11:45,等待中
[2026/08/24 22:11:45] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,33,20260824,22:11:45,,,,,,Standby,99,等待中
[2026/08/24 22:11:50] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,44,2026/08/24,22:11:50,停止中
[2026/08/24 22:11:50] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,34,20260824,22:11:50,,,,,,Quit,100,停止中
[2026/08/24 22:11:53] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,45,2026/08/24,22:11:53,停機故障
[2026/08/24 22:11:58] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,46,2026/08/24,22:11:58,分析中
[2026/08/24 22:11:58] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,35,20260824,22:11:58,,,,,,Working,0,分析中
[2026/08/24 22:12:01] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,47,2026/08/24,22:12:01,等待中
[2026/08/24 22:12:01] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,36,20260824,22:12:01,,,,,,Standby,99,等待中
[2026/08/24 22:12:06] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,48,2026/08/24,22:12:06,停止中
[2026/08/24 22:12:06] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,37,20260824,22:12:06,,,,,,Quit,100,停止中
[2026/08/24 22:12:08] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,49,2026/08/24,22:12:08,停機故障
[2026/08/24 22:12:14] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,50,2026/08/24,22:12:14,分析中
[2026/08/24 22:12:14] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,38,20260824,22:12:14,,,,,,Working,0,分析中
